size, bbs, bbp, reference
10, 8, 8, 5
110, 7, 6, 6
210, 7, 8, 6
310, 9, 8, 6
410, 10, 9, 6
510, 9, 11, 6
610, 11, 12, 6
710, 16, 15, 6
810, 14, 16, 6
910, 19, 18, 7
1010, 17, 17, 5
1110, 20, 16, 6
1210, 23, 21, 7
1310, 25, 23, 7
1410, 27, 25, 7
1510, 29, 28, 5
1610, 29, 28, 6
1710, 33, 31, 7
1810, 34, 34, 6
1910, 39, 33, 4
2010, 41, 39, 6
2110, 42, 41, 7
2210, 44, 44, 7
2310, 50, 47, 7
2410, 52, 50, 8
2510, 55, 51, 8
2610, 60, 58, 7
2710, 63, 59, 5
2810, 65, 105, 7
2910, 73, 64, 8
3010, 78, 72, 5
3110, 80, 75, 4
3210, 83, 83, 8
3310, 87, 81, 4
3410, 90, 85, 9
3510, 96, 93, 4
3610, 100, 93, 8
3710, 98, 100, 8
3810, 106, 40, 8
3910, 111, 115, 8
4010, 113, 109, 9
4110, 130, 114, 9
4210, 132, 124, 8
4310, 134, 130, 9
4410, 140, 131, 10
4510, 147, 147, 10
4610, 156, 149, 8
4710, 162, 145, 8
4810, 176, 162, 8
4910, 169, 156, 5
5010, 184, 169, 7
5110, 207, 173, 8
5210, 193, 175, 9
5310, 191, 188, 9
5410, 196, 191, 11
5510, 214, 194, 11
5610, 221, 211, 6
5710, 249, 216, 8
5810, 238, 216, 10
5910, 246, 227, 10
6010, 250, 237, 10
6110, 261, 233, 10
6210, 260, 253, 11
6310, 271, 270, 11
6410, 281, 272, 6
6510, 290, 280, 9
6610, 301, 278, 11
6710, 309, 306, 11
6810, 319, 308, 9
6910, 322, 306, 10
7010, 334, 316, 7
7110, 347, 346, 10
7210, 358, 349, 12
7310, 368, 363, 9
7410, 378, 357, 11
7510, 377, 367, 6
7610, 371, 383, 5
7710, 399, 385, 10
7810, 402, 405, 10
7910, 413, 387, 9
8010, 432, 395, 10
8110, 441, 399, 10
8210, 443, 436, 14
8310, 446, 452, 13
8410, 476, 476, 13
8510, 489, 461, 13
8610, 501, 502, 13
8710, 490, 449, 11
8810, 526, 279, 13
8910, 525, 510, 10
9010, 544, 549, 12
9110, 566, 536, 9
9210, 584, 581, 14
9310, 554, 572, 8
9410, 597, 577, 14
9510, 581, 590, 15
9610, 614, 626, 14
9710, 605, 628, 12
9810, 646, 593, 15
9910, 656, 598, 13
