size, bbp
10, 10
110, 7
210, 7
310, 8
410, 7
510, 11
610, 13
710, 9
810, 16
910, 17
1010, 19
1110, 21
1210, 22
1310, 21
1410, 25
1510, 27
1610, 30
1710, 34
1810, 34
1910, 35
2010, 34
2110, 20
2210, 44
2310, 46
2410, 49
2510, 55
2610, 55
2710, 61
2810, 62
2910, 63
3010, 71
3110, 71
3210, 75
3310, 78
3410, 87
3510, 85
3610, 100
3710, 95
3810, 108
3910, 110
4010, 109
4110, 108
4210, 124
4310, 130
4410, 133
4510, 148
4610, 144
4710, 56
4810, 158
4910, 172
5010, 161
5110, 175
5210, 176
5310, 196
5410, 198
5510, 194
5610, 200
5710, 207
5810, 223
5910, 233
6010, 241
6110, 242
6210, 253
6310, 254
6410, 272
6510, 290
6610, 486
6710, 303
6810, 587
6910, 307
7010, 334
7110, 325
7210, 351
7310, 374
7410, 367
7510, 342
7610, 371
7710, 367
7810, 392
7910, 423
8010, 392
8110, 424
8210, 455
8310, 447
8410, 466
8510, 437
8610, 480
8710, 482
8810, 523
8910, 516
9010, 522
9110, 520
9210, 553
9310, 548
9410, 549
9510, 531
9610, 601
9710, 582
9810, 631
9910, 622
