size, bbp
10, 8
110, 6
210, 8
310, 8
410, 9
510, 11
610, 12
710, 15
810, 16
910, 18
1010, 17
1110, 16
1210, 21
1310, 23
1410, 25
1510, 28
1610, 28
1710, 31
1810, 34
1910, 33
2010, 39
2110, 41
2210, 44
2310, 47
2410, 50
2510, 51
2610, 58
2710, 59
2810, 105
2910, 64
3010, 72
3110, 75
3210, 83
3310, 81
3410, 85
3510, 93
3610, 93
3710, 100
3810, 40
3910, 115
4010, 109
4110, 114
4210, 124
4310, 130
4410, 131
4510, 147
4610, 149
4710, 145
4810, 162
4910, 156
5010, 169
5110, 173
5210, 175
5310, 188
5410, 191
5510, 194
5610, 211
5710, 216
5810, 216
5910, 227
6010, 237
6110, 233
6210, 253
6310, 270
6410, 272
6510, 280
6610, 278
6710, 306
6810, 308
6910, 306
7010, 316
7110, 346
7210, 349
7310, 363
7410, 357
7510, 367
7610, 383
7710, 385
7810, 405
7910, 387
8010, 395
8110, 399
8210, 436
8310, 452
8410, 476
8510, 461
8610, 502
8710, 449
8810, 279
8910, 510
9010, 549
9110, 536
9210, 581
9310, 572
9410, 577
9510, 590
9610, 626
9710, 628
9810, 593
9910, 598
