size, bbs
10, 8
110, 7
210, 7
310, 9
410, 9
510, 12
610, 11
710, 16
810, 15
910, 19
1010, 21
1110, 23
1210, 23
1310, 22
1410, 27
1510, 29
1610, 30
1710, 31
1810, 36
1910, 36
2010, 42
2110, 44
2210, 47
2310, 47
2410, 52
2510, 55
2610, 61
2710, 66
2810, 66
2910, 66
3010, 75
3110, 79
3210, 82
3310, 85
3410, 90
3510, 93
3610, 97
3710, 105
3810, 106
3910, 111
4010, 118
4110, 126
4210, 128
4310, 131
4410, 142
4510, 150
4610, 153
4710, 154
4810, 172
4910, 162
5010, 182
5110, 187
5210, 191
5310, 193
5410, 195
5510, 211
5610, 221
5710, 223
5810, 237
5910, 248
6010, 258
6110, 249
6210, 267
6310, 280
6410, 285
6510, 294
6610, 288
6710, 319
6810, 326
6910, 315
7010, 321
7110, 343
7210, 358
7310, 363
7410, 377
7510, 385
7610, 376
7710, 402
7810, 419
7910, 429
8010, 439
8110, 426
8210, 433
8310, 462
8410, 457
8510, 481
8610, 483
8710, 518
8810, 517
8910, 527
9010, 557
9110, 533
9210, 560
9310, 556
9410, 586
9510, 571
9610, 615
9710, 626
9810, 614
9910, 659
