size, bbs
10, 6
110, 4
210, 4
310, 5
410, 6
510, 8
610, 9
710, 10
810, 12
910, 14
1010, 16
1110, 18
1210, 21
1310, 24
1410, 27
1510, 30
1610, 34
1710, 37
1810, 41
1910, 47
2010, 50
2110, 55
2210, 60
2310, 64
2410, 71
2510, 77
2610, 81
2710, 88
2810, 94
2910, 100
3010, 109
3110, 115
3210, 119
3310, 127
3410, 137
3510, 143
3610, 149
3710, 161
3810, 170
3910, 175
4010, 187
4110, 193
4210, 203
4310, 211
4410, 226
4510, 231
4610, 240
4710, 252
4810, 268
4910, 270
5010, 296
5110, 295
5210, 306
5310, 317
5410, 330
5510, 341
5610, 354
5710, 367
5810, 381
5910, 404
6010, 417
6110, 433
6210, 431
6310, 457
6410, 471
6510, 477
6610, 490
6710, 505
6810, 520
6910, 535
7010, 563
7110, 580
7210, 580
7310, 611
7410, 616
7510, 646
7610, 647
7710, 679
7810, 680
7910, 714
8010, 717
8110, 730
8210, 744
8310, 768
8410, 785
8510, 802
8610, 843
8710, 843
8810, 861
8910, 884
9010, 900
9110, 925
9210, 943
9310, 991
9410, 1008
9510, 1030
9610, 1050
9710, 1049
9810, 1068
9910, 1095
