size, mss, msp, reference
10, 6, 7, 5
110, 5, 8, 6
210, 6, 7, 6
310, 5, 7, 6
410, 6, 7, 6
510, 6, 5, 6
610, 6, 7, 6
710, 6, 7, 6
810, 7, 6, 6
910, 6, 7, 7
1010, 4, 7, 5
1110, 6, 8, 6
1210, 6, 7, 7
1310, 6, 7, 7
1410, 3, 8, 7
1510, 6, 7, 5
1610, 6, 8, 6
1710, 4, 7, 7
1810, 4, 5, 6
1910, 6, 7, 4
2010, 6, 8, 6
2110, 7, 8, 7
2210, 7, 9, 7
2310, 4, 9, 7
2410, 7, 8, 8
2510, 6, 9, 8
2610, 6, 8, 7
2710, 6, 7, 5
2810, 7, 8, 7
2910, 6, 9, 8
3010, 5, 8, 5
3110, 6, 10, 4
3210, 4, 8, 8
3310, 6, 7, 4
3410, 7, 10, 9
3510, 7, 9, 4
3610, 8, 10, 8
3710, 6, 11, 8
3810, 8, 9, 8
3910, 8, 11, 8
4010, 6, 7, 9
4110, 8, 9, 9
4210, 7, 10, 8
4310, 7, 11, 9
4410, 4, 10, 10
4510, 8, 8, 10
4610, 4, 12, 8
4710, 4, 11, 8
4810, 8, 11, 8
4910, 7, 12, 5
5010, 7, 9, 7
5110, 5, 11, 8
5210, 8, 9, 9
5310, 8, 8, 9
5410, 9, 11, 11
5510, 8, 12, 11
5610, 9, 9, 6
5710, 8, 8, 8
5810, 9, 9, 10
5910, 9, 7, 10
6010, 9, 7, 10
6110, 7, 9, 10
6210, 9, 14, 11
6310, 9, 12, 11
6410, 5, 13, 6
6510, 5, 12, 9
6610, 9, 14, 11
6710, 9, 11, 11
6810, 7, 11, 9
6910, 10, 8, 10
7010, 7, 11, 7
7110, 9, 12, 10
7210, 8, 14, 12
7310, 10, 10, 9
7410, 9, 9, 11
7510, 9, 12, 6
7610, 7, 10, 5
7710, 11, 10, 10
7810, 6, 12, 10
7910, 9, 12, 9
8010, 7, 10, 10
8110, 10, 12, 10
8210, 11, 13, 14
8310, 6, 13, 13
8410, 11, 13, 13
8510, 11, 11, 13
8610, 9, 16, 13
8710, 10, 14, 11
8810, 9, 15, 13
8910, 11, 16, 10
9010, 11, 13, 12
9110, 7, 11, 9
9210, 6, 12, 14
9310, 5, 10, 8
9410, 11, 15, 14
9510, 10, 15, 15
9610, 12, 14, 14
9710, 12, 12, 12
9810, 12, 11, 15
9910, 12, 12, 13
