size, msp
10, 10
110, 7
210, 7
310, 7
410, 7
510, 7
610, 8
710, 8
810, 8
910, 8
1010, 8
1110, 8
1210, 8
1310, 7
1410, 8
1510, 7
1610, 8
1710, 7
1810, 7
1910, 9
2010, 8
2110, 8
2210, 8
2310, 9
2410, 7
2510, 8
2610, 7
2710, 6
2810, 10
2910, 9
3010, 8
3110, 9
3210, 10
3310, 10
3410, 12
3510, 10
3610, 11
3710, 10
3810, 9
3910, 8
4010, 13
4110, 8
4210, 10
4310, 11
4410, 11
4510, 12
4610, 13
4710, 12
4810, 11
4910, 9
5010, 12
5110, 11
5210, 8
5310, 13
5410, 12
5510, 10
5610, 13
5710, 10
5810, 10
5910, 8
6010, 11
6110, 9
6210, 14
6310, 10
6410, 13
6510, 10
6610, 15
6710, 15
6810, 16
6910, 12
7010, 13
7110, 15
7210, 12
7310, 9
7410, 11
7510, 16
7610, 13
7710, 14
7810, 13
7910, 13
8010, 13
8110, 12
8210, 11
8310, 8
8410, 14
8510, 16
8610, 13
8710, 17
8810, 14
8910, 12
9010, 18
9110, 16
9210, 15
9310, 14
9410, 13
9510, 15
9610, 13
9710, 12
9810, 17
9910, 17
