size, msp
10, 7
110, 8
210, 7
310, 7
410, 7
510, 5
610, 7
710, 7
810, 6
910, 7
1010, 7
1110, 8
1210, 7
1310, 7
1410, 8
1510, 7
1610, 8
1710, 7
1810, 5
1910, 7
2010, 8
2110, 8
2210, 9
2310, 9
2410, 8
2510, 9
2610, 8
2710, 7
2810, 8
2910, 9
3010, 8
3110, 10
3210, 8
3310, 7
3410, 10
3510, 9
3610, 10
3710, 11
3810, 9
3910, 11
4010, 7
4110, 9
4210, 10
4310, 11
4410, 10
4510, 8
4610, 12
4710, 11
4810, 11
4910, 12
5010, 9
5110, 11
5210, 9
5310, 8
5410, 11
5510, 12
5610, 9
5710, 8
5810, 9
5910, 7
6010, 7
6110, 9
6210, 14
6310, 12
6410, 13
6510, 12
6610, 14
6710, 11
6810, 11
6910, 8
7010, 11
7110, 12
7210, 14
7310, 10
7410, 9
7510, 12
7610, 10
7710, 10
7810, 12
7910, 12
8010, 10
8110, 12
8210, 13
8310, 13
8410, 13
8510, 11
8610, 16
8710, 14
8810, 15
8910, 16
9010, 13
9110, 11
9210, 12
9310, 10
9410, 15
9510, 15
9610, 14
9710, 12
9810, 11
9910, 12
