size, mss
10, 9
110, 6
210, 5
310, 5
410, 6
510, 5
610, 7
710, 3
810, 7
910, 6
1010, 6
1110, 4
1210, 7
1310, 7
1410, 7
1510, 7
1610, 6
1710, 7
1810, 6
1910, 4
2010, 4
2110, 6
2210, 7
2310, 7
2410, 4
2510, 7
2610, 5
2710, 7
2810, 7
2910, 4
3010, 8
3110, 8
3210, 4
3310, 4
3410, 5
3510, 8
3610, 7
3710, 7
3810, 7
3910, 8
4010, 8
4110, 5
4210, 8
4310, 9
4410, 9
4510, 5
4610, 5
4710, 7
4810, 5
4910, 6
5010, 4
5110, 4
5210, 9
5310, 10
5410, 9
5510, 9
5610, 9
5710, 10
5810, 7
5910, 10
6010, 10
6110, 9
6210, 9
6310, 9
6410, 8
6510, 8
6610, 8
6710, 9
6810, 10
6910, 10
7010, 10
7110, 10
7210, 9
7310, 8
7410, 4
7510, 10
7610, 7
7710, 6
7810, 9
7910, 5
8010, 9
8110, 12
8210, 11
8310, 10
8410, 10
8510, 11
8610, 11
8710, 11
8810, 10
8910, 11
9010, 12
9110, 11
9210, 12
9310, 10
9410, 10
9510, 10
9610, 13
9710, 11
9810, 10
9910, 7
