size, mss
10, 6
110, 3
210, 4
310, 3
410, 4
510, 4
610, 4
710, 3
810, 4
910, 3
1010, 4
1110, 3
1210, 4
1310, 4
1410, 4
1510, 3
1610, 4
1710, 4
1810, 4
1910, 4
2010, 4
2110, 3
2210, 4
2310, 4
2410, 4
2510, 3
2610, 4
2710, 4
2810, 5
2910, 4
3010, 4
3110, 4
3210, 4
3310, 4
3410, 4
3510, 4
3610, 4
3710, 4
3810, 5
3910, 4
4010, 5
4110, 5
4210, 5
4310, 5
4410, 4
4510, 4
4610, 5
4710, 5
4810, 5
4910, 5
5010, 5
5110, 5
5210, 5
5310, 5
5410, 5
5510, 5
5610, 5
5710, 5
5810, 5
5910, 5
6010, 5
6110, 5
6210, 5
6310, 5
6410, 6
6510, 5
6610, 6
6710, 5
6810, 5
6910, 6
7010, 6
7110, 5
7210, 6
7310, 5
7410, 7
7510, 6
7610, 6
7710, 6
7810, 6
7910, 6
8010, 5
8110, 6
8210, 6
8310, 6
8410, 6
8510, 6
8610, 6
8710, 6
8810, 7
8910, 7
9010, 7
9110, 6
9210, 6
9310, 7
9410, 7
9510, 7
9610, 7
9710, 7
9810, 7
9910, 7
