size, qss, qsp, reference
10, 6, 18, 15
110, 4, 20, 4
210, 4, 24, 4
310, 4, 24, 4
410, 4, 34, 4
510, 4, 41, 4
610, 4, 58, 4
710, 4, 73, 4
810, 4, 97, 4
910, 4, 108, 4
1010, 4, 128, 4
1110, 4, 154, 4
1210, 4, 196, 4
1310, 4, 225, 4
1410, 4, 274, 4
1510, 4, 297, 4
1610, 4, 345, 4
1710, 4, 379, 5
1810, 4, 438, 4
1910, 4, 493, 5
2010, 3, 491, 4
2110, 4, 571, 4
2210, 4, 632, 4
2310, 4, 688, 5
2410, 4, 742, 4
2510, 4, 729, 5
2610, 4, 829, 4
2710, 4, 835, 5
2810, 4, 973, 5
2910, 4, 1088, 5
3010, 4, 1113, 5
3110, 4, 1255, 5
3210, 5, 1298, 5
3310, 4, 1378, 5
3410, 4, 1500, 4
3510, 5, 1534, 5
3610, 4, 1596, 5
3710, 5, 1695, 5
3810, 4, 1979, 5
3910, 4, 1852, 5
4010, 4, 1890, 5
4110, 5, 2201, 5
4210, 4, 2245, 5
4310, 4, 2395, 5
4410, 5, 2535, 5
4510, 5, 2571, 5
4610, 4, 2812, 6
4710, 5, 2702, 5
4810, 5, 3000, 5
4910, 5, 3059, 5
5010, 5, 3182, 5
5110, 5, 3440, 6
5210, 5, 3426, 6
5310, 5, 3651, 6
5410, 5, 3865, 6
5510, 5, 3665, 6
5610, 5, 4357, 6
5710, 5, 4323, 6
5810, 5, 4382, 6
5910, 5, 4352, 6
6010, 5, 4530, 6
6110, 5, 4829, 6
6210, 5, 4856, 6
6310, 5, 4926, 6
6410, 5, 5147, 6
6510, 5, 5194, 6
6610, 5, 5651, 7
6710, 5, 5253, 6
6810, 5, 5746, 6
6910, 5, 6145, 6
7010, 6, 6345, 6
7110, 5, 6534, 7
7210, 5, 6805, 7
7310, 5, 6926, 7
7410, 6, 6555, 7
7510, 5, 7359, 7
7610, 5, 7363, 7
7710, 5, 7060, 6
7810, 6, 7578, 7
7910, 5, 7516, 7
8010, 5, 8404, 7
8110, 5, 8503, 7
8210, 6, 8418, 7
8310, 6, 8869, 7
8410, 6, 9373, 7
8510, 6, 9410, 7
8610, 5, 9484, 7
8710, 6, 9390, 7
8810, 6, 9538, 7
8910, 6, 10040, 7
9010, 6, 11047, 7
9110, 6, 10443, 7
9210, 6, 11383, 7
9310, 7, 11005, 7
9410, 6, 11050, 8
9510, 6, 11578, 7
9610, 6, 12389, 8
9710, 5, 11935, 7
9810, 6, 12244, 8
9910, 6, 12496, 8
