size, qsp
10, 9
20, 8
30, 7
40, 7
50, 7
60, 7
70, 7
80, 7
90, 6
100, 7
110, 7
120, 7
130, 7
140, 8
150, 7
160, 8
170, 8
180, 8
190, 8
200, 8
210, 8
220, 9
230, 8
240, 8
250, 9
260, 8
270, 8
280, 8
290, 8
300, 9
310, 8
320, 10
330, 9
340, 9
350, 8
360, 9
370, 9
380, 8
390, 9
400, 9
410, 9
420, 11
430, 10
440, 10
450, 9
460, 9
470, 10
480, 10
490, 9
500, 9
510, 9
520, 8
530, 9
540, 9
550, 10
560, 11
570, 9
580, 11
590, 10
600, 11
610, 11
620, 11
630, 9
640, 8
650, 11
660, 11
670, 12
680, 10
690, 14
700, 9
710, 12
720, 13
730, 12
740, 14
750, 12
760, 14
770, 11
780, 9
790, 11
800, 13
810, 10
820, 11
830, 13
840, 8
850, 10
860, 13
870, 9
880, 9
890, 12
900, 11
910, 10
920, 8
930, 13
940, 13
950, 12
960, 13
970, 13
980, 14
990, 12
1000, 13
