size, qsp
10, 8
110, 7
210, 8
310, 7
410, 8
510, 7
610, 10
710, 7
810, 10
910, 12
1010, 12
1110, 11
1210, 13
1310, 13
1410, 21
1510, 16
1610, 22
1710, 19
1810, 21
1910, 24
2010, 17
2110, 18
2210, 29
2310, 21
2410, 19
2510, 17
2610, 22
2710, 17
2810, 24
2910, 29
3010, 23
3110, 36
3210, 32
3310, 16
3410, 39
3510, 37
3610, 26
3710, 26
3810, 65
3910, 24
4010, 20
4110, 49
4210, 41
4310, 30
4410, 55
4510, 49
4610, 70
4710, 34
4810, 52
4910, 35
5010, 30
5110, 62
5210, 44
5310, 60
5410, 98
5510, 33
5610, 117
5710, 107
5810, 68
5910, 40
6010, 54
6110, 80
6210, 55
6310, 52
6410, 37
6510, 46
6610, 121
6710, 39
6810, 57
6910, 94
7010, 113
7110, 102
7210, 100
7310, 105
7410, 57
7510, 121
7610, 76
7710, 55
7810, 92
7910, 95
8010, 142
8110, 214
8210, 82
8310, 106
