size, qss
10, 6
110, 6
210, 6
310, 5
410, 6
510, 6
610, 7
710, 5
810, 5
910, 6
1010, 5
1110, 4
1210, 6
1310, 3
1410, 7
1510, 5
1610, 6
1710, 7
1810, 6
1910, 7
2010, 7
2110, 5
2210, 4
2310, 3
2410, 6
2510, 4
2610, 7
2710, 5
2810, 7
2910, 5
3010, 4
3110, 4
3210, 5
3310, 3
3410, 4
3510, 8
3610, 8
3710, 6
3810, 7
3910, 8
4010, 5
4110, 4
4210, 8
4310, 8
4410, 4
4510, 4
4610, 8
4710, 8
4810, 5
4910, 8
5010, 7
5110, 4
5210, 8
5310, 7
5410, 4
5510, 8
5610, 5
5710, 8
5810, 9
5910, 5
6010, 9
6110, 7
6210, 9
6310, 10
6410, 9
6510, 8
6610, 9
6710, 9
6810, 8
6910, 8
7010, 9
7110, 9
7210, 10
7310, 7
7410, 9
7510, 10
7610, 9
7710, 9
7810, 9
7910, 9
8010, 7
8110, 10
8210, 10
8310, 10
8410, 6
8510, 10
8610, 10
8710, 8
8810, 9
8910, 9
9010, 10
9110, 11
9210, 11
9310, 11
9410, 9
9510, 9
9610, 11
9710, 11
9810, 5
9910, 6
