size, reference
10, 7
110, 6
210, 7
310, 6
410, 6
510, 7
610, 5
710, 7
810, 7
910, 5
1010, 7
1110, 7
1210, 6
1310, 7
1410, 7
1510, 7
1610, 7
1710, 5
1810, 7
1910, 8
2010, 8
2110, 8
2210, 7
2310, 8
2410, 8
2510, 8
2610, 5
2710, 8
2810, 9
2910, 7
3010, 5
3110, 7
3210, 8
3310, 9
3410, 9
3510, 4
3610, 9
3710, 9
3810, 10
3910, 9
4010, 10
4110, 9
4210, 9
4310, 10
4410, 9
4510, 9
4610, 10
4710, 9
4810, 8
4910, 9
5010, 9
5110, 11
5210, 10
5310, 10
5410, 6
5510, 8
5610, 5
5710, 9
5810, 11
5910, 11
6010, 8
6110, 11
6210, 10
6310, 11
6410, 14
6510, 10
6610, 10
6710, 6
6810, 6
6910, 11
7010, 6
7110, 12
7210, 11
7310, 12
7410, 9
7510, 9
7610, 10
7710, 11
7810, 13
7910, 11
8010, 12
8110, 14
8210, 10
8310, 11
8410, 14
8510, 8
8610, 12
8710, 7
8810, 13
8910, 13
9010, 14
9110, 7
9210, 14
9310, 11
9410, 7
9510, 8
9610, 11
9710, 15
9810, 13
9910, 6
