size, bbs, bbp, qss, qsp, mss, msp, reference
10, 8, 8, 8, 8, 7, 7, 7
110, 7, 7, 6, 7, 6, 7, 6
210, 8, 7, 7, 6, 6, 7, 7
310, 9, 8, 7, 8, 7, 6, 6
410, 11, 9, 6, 8, 5, 5, 6
510, 8, 11, 6, 9, 7, 7, 7
610, 16, 12, 6, 10, 4, 4, 5
710, 13, 13, 6, 10, 4, 6, 7
810, 16, 15, 4, 9, 7, 7, 7
910, 18, 16, 4, 12, 7, 7, 5
1010, 18, 18, 6, 9, 7, 6, 7
1110, 20, 19, 6, 10, 7, 7, 7
1210, 22, 21, 7, 9, 5, 7, 6
1310, 23, 22, 6, 14, 7, 8, 7
1410, 27, 27, 7, 19, 7, 7, 7
1510, 28, 28, 7, 15, 6, 4, 7
1610, 29, 18, 5, 21, 6, 8, 7
1710, 32, 32, 6, 17, 7, 6, 5
1810, 36, 31, 4, 26, 7, 8, 7
1910, 39, 36, 4, 25, 7, 8, 8
2010, 40, 35, 7, 11, 7, 8, 8
2110, 43, 39, 4, 22, 7, 9, 8
2210, 47, 44, 3, 28, 7, 6, 7
2310, 48, 45, 6, 19, 7, 7, 8
2410, 53, 51, 8, 25, 6, 6, 8
2510, 54, 53, 7, 16, 6, 6, 8
2610, 59, 52, 8, 22, 7, 8, 5
2710, 61, 58, 6, 16, 7, 8, 8
2810, 63, 59, 6, 25, 8, 7, 9
2910, 67, 66, 7, 25, 8, 8, 7
3010, 73, 64, 6, 22, 4, 10, 5
3110, 75, 73, 7, 35, 4, 8, 7
3210, 85, 79, 5, 26, 7, 10, 8
3310, 89, 87, 7, 27, 8, 10, 9
3410, 90, 86, 4, 42, 7, 10, 9
3510, 95, 88, 5, 34, 7, 7, 4
3610, 100, 89, 8, 29, 7, 11, 9
3710, 107, 94, 5, 24, 4, 11, 9
3810, 116, 101, 8, 61, 7, 6, 10
3910, 112, 114, 6, 23, 7, 7, 9
4010, 119, 104, 9, 24, 7, 7, 10
4110, 123, 116, 5, 51, 7, 10, 9
4210, 131, 122, 9, 44, 9, 6, 9
4310, 135, 127, 8, 37, 9, 8, 10
4410, 138, 138, 8, 56, 4, 12, 9
4510, 150, 142, 8, 50, 5, 12, 9
4610, 158, 148, 8, 67, 7, 7, 10
4710, 153, 150, 5, 29, 8, 9, 9
4810, 166, 154, 5, 51, 8, 7, 8
4910, 176, 162, 9, 22, 5, 11, 9
5010, 181, 172, 9, 34, 7, 11, 9
5110, 189, 177, 5, 67, 9, 12, 11
5210, 193, 186, 9, 43, 7, 9, 10
5310, 198, 195, 8, 75, 7, 10, 10
5410, 206, 185, 7, 94, 9, 9, 6
5510, 217, 197, 9, 32, 8, 11, 8
5610, 221, 191, 4, 119, 8, 7, 5
5710, 231, 228, 5, 108, 8, 11, 9
5810, 228, 228, 8, 64, 10, 8, 11
5910, 247, 226, 7, 38, 4, 14, 11
6010, 254, 242, 7, 59, 9, 12, 8
6110, 256, 241, 6, 78, 9, 9, 11
6210, 267, 260, 9, 59, 9, 14, 10
6310, 275, 256, 9, 48, 9, 9, 11
6410, 280, 286, 8, 54, 7, 9, 14
6510, 325, 292, 9, 47, 6, 13, 10
6610, 300, 270, 8, 118, 7, 13, 10
6710, 315, 283, 10, 37, 10, 11, 6
6810, 316, 300, 10, 42, 9, 9, 6
6910, 322, 313, 8, 90, 11, 9, 11
7010, 332, 330, 8, 106, 9, 9, 6
7110, 359, 340, 9, 118, 10, 13, 12
7210, 354, 338, 11, 81, 5, 12, 11
7310, 362, 343, 9, 107, 10, 14, 12
7410, 380, 214, 10, 50, 5, 10, 9
7510, 390, 364, 9, 144, 11, 19, 9
7610, 374, 377, 10, 72, 10, 12, 10
7710, 401, 403, 10, 47, 5, 14, 11
7810, 411, 401, 10, 93, 9, 14, 13
7910, 422, 408, 11, 93, 11, 12, 11
8010, 434, 407, 10, 158, 5, 15, 12
8110, 421, 445, 11, 217, 11, 11, 14
8210, 433, 449, 10, 75, 5, 14, 10
8310, 463, 457, 5, 89, 6, 14, 11
8410, 457, 467, 10, 158, 10, 13, 14
8510, 465, 472, 11, 172, 11, 13, 8
8610, 474, 484, 11, 90, 6, 14, 12
8710, 505, 473, 11, 104, 12, 10, 7
8810, 500, 375, 11, 134, 5, 15, 13
8910, 532, 532, 9, 54, 6, 15, 13
9010, 544, 501, 9, 276, 12, 13, 14
9110, 564, 535, 11, 36, 11, 13, 7
9210, 544, 542, 10, 230, 11, 12, 14
9310, 580, 574, 10, 131, 10, 14, 11
9410, 595, 571, 11, 147, 11, 12, 7
9510, 608, 614, 10, 79, 10, 16, 8
9610, 624, 576, 11, 289, 12, 11, 11
9710, 628, 606, 12, 185, 12, 13, 15
9810, 621, 630, 11, 230, 10, 10, 13
9910, 655, 466, 9, 87, 10, 14, 6
