size, bbs, bbp, qss, qsp, mss, msp
10, 7, 7, 7, 7, 6, 7, 6
110, 7, 7, 6, 6, 7, 7, 6
210, 7, 7, 6, 8, 6, 7, 7
310, 7, 8, 7, 9, 5, 7, 6
410, 7, 10, 7, 10, 6, 7, 7
510, 5, 12, 7, 8, 7, 6, 7
610, 6, 11, 6, 9, 6, 6, 7
710, 6, 12, 4, 9, 5, 7, 6
810, 8, 16, 4, 11, 7, 5, 7
910, 6, 18, 4, 13, 8, 6, 8
1010, 10, 25, 7, 11, 6, 8, 8
1110, 8, 17, 8, 11, 4, 7, 7
1210, 10, 22, 7, 13, 7, 8, 8
1310, 9, 22, 7, 13, 5, 8, 6
1410, 9, 22, 6, 20, 6, 7, 4
1510, 11, 27, 7, 16, 8, 6, 8
1610, 13, 38, 7, 23, 7, 10, 8
1710, 12, 30, 6, 18, 6, 10, 8
1810, 12, 33, 8, 21, 7, 8, 8
1910, 15, 51, 8, 27, 6, 9, 8
2010, 10, 38, 6, 17, 8, 10, 9
2110, 12, 41, 8, 20, 6, 7, 8
2210, 15, 43, 8, 32, 8, 7, 8
2310, 16, 46, 8, 20, 7, 10, 9
2410, 13, 48, 9, 23, 9, 10, 9
2510, 14, 55, 9, 19, 8, 10, 10
2610, 16, 56, 6, 19, 8, 8, 8
2710, 17, 61, 8, 17, 9, 8, 9
2810, 18, 64, 9, 24, 7, 12, 9
2910, 19, 69, 5, 28, 4, 12, 9
3010, 16, 67, 7, 23, 9, 8, 10
3110, 19, 117, 5, 36, 8, 11, 9
3210, 19, 79, 9, 33, 9, 7, 11
3310, 20, 80, 9, 26, 8, 11, 10
3410, 19, 87, 8, 45, 9, 8, 9
3510, 21, 90, 5, 38, 10, 8, 11
3610, 22, 92, 5, 27, 5, 13, 11
3710, 21, 104, 9, 25, 10, 14, 10
3810, 20, 113, 7, 65, 9, 11, 11
3910, 23, 113, 8, 24, 5, 11, 8
4010, 23, 206, 9, 23, 5, 7, 9
4110, 23, 118, 4, 50, 9, 9, 10
4210, 25, 121, 5, 43, 7, 10, 10
4310, 25, 205, 9, 39, 7, 11, 11
4410, 24, 131, 9, 60, 7, 14, 9
4510, 28, 149, 10, 52, 5, 10, 6
4610, 28, 59, 10, 74, 8, 14, 8
4710, 28, 171, 10, 36, 9, 14, 10
4810, 29, 262, 11, 54, 8, 9, 6
4910, 30, 169, 10, 41, 5, 14, 12
5010, 29, 179, 9, 34, 10, 10, 12
5110, 32, 177, 11, 65, 11, 16, 7
5210, 28, 183, 6, 43, 11, 12, 13
5310, 33, 325, 9, 78, 9, 15, 11
5410, 29, 201, 11, 101, 10, 14, 6
5510, 32, 191, 11, 35, 10, 10, 12
5610, 34, 393, 10, 118, 13, 14, 9
5710, 33, 449, 11, 110, 6, 10, 7
5810, 37, 230, 11, 66, 12, 15, 12
5910, 37, 372, 12, 44, 6, 12, 7
6010, 37, 233, 11, 52, 7, 16, 16
6110, 37, 241, 11, 81, 11, 13, 14
6210, 40, 262, 6, 64, 8, 13, 13
6310, 38, 263, 12, 72, 12, 15, 14
6410, 41, 275, 12, 47, 10, 14, 13
6510, 41, 267, 11, 48, 6, 15, 7
6610, 39, 288, 12, 119, 13, 13, 12
6710, 42, 533, 14, 36, 10, 15, 13
6810, 46, 536, 7, 56, 10, 13, 8
6910, 46, 316, 11, 89, 11, 16, 15
7010, 46, 324, 12, 106, 5, 14, 6
7110, 42, 356, 14, 104, 6, 14, 15
7210, 47, 341, 13, 100, 13, 11, 12
7310, 49, 353, 10, 113, 14, 13, 15
7410, 50, 349, 13, 55, 11, 9, 11
7510, 51, 572, 12, 123, 10, 16, 15
7610, 52, 383, 12, 77, 12, 13, 12
7710, 51, 764, 13, 48, 7, 16, 14
7810, 55, 384, 13, 101, 11, 19, 14
7910, 53, 676, 9, 101, 6, 17, 13
8010, 57, 401, 12, 163, 14, 15, 11
8110, 61, 430, 11, 228, 6, 16, 8
8210, 63, 449, 11, 89, 12, 15, 16
8310, 55, 456, 8, 109, 14, 10, 13
8410, 63, 437, 14, 158, 7, 16, 13
8510, 62, 847, 14, 176, 14, 14, 12
8610, 63, 454, 7, 93, 7, 15, 9
8710, 64, 479, 12, 79, 13, 14, 12
8810, 62, 728, 11, 164, 13, 15, 16
8910, 66, 529, 12, 69, 14, 12, 13
9010, 65, 582, 6, 284, 9, 14, 16
9110, 67, 668, 12, 69, 14, 17, 16
9210, 71, 540, 14, 262, 13, 15, 10
9310, 70, 583, 15, 135, 14, 18, 13
9410, 70, 550, 14, 151, 14, 13, 14
9510, 74, 594, 13, 78, 15, 19, 15
9610, 76, 602, 13, 287, 15, 16, 8
9710, 75, 650, 11, 187, 7, 15, 10
9810, 78, 623, 15, 240, 14, 16, 17
9910, 75, 638, 14, 70, 7, 17, 8
